latitude,longitude,floorSize,url,price
40.770167,-73.777393,"1,954",https://www.zillow.com/homedetails/21010-33rd-Rd-Flushing-NY-11361/32060353_zpid/,"$1,148,000"
40.816299,-73.947822,"1,066",https://www.zillow.com/homedetails/300-W-135th-St-APT-6B-New-York-NY-10030/65323055_zpid/,"$935,000"
40.728167,-73.722473,,https://www.zillow.com/homedetails/244-36-88th-Dr-Bellerose-NY-11426/2079444925_zpid/,"$649,900"
40.54761,-74.210003,"2,500",https://www.zillow.com/homedetails/859-Rossville-Ave-Staten-Island-NY-10309/32363868_zpid/,"$725,000"
40.774272,-73.956891,,https://www.zillow.com/homedetails/239-E-79th-St-APT-18C-New-York-NY-10075/245084311_zpid/,"$1,275,000"
40.548325,-74.198244,"1,805",https://www.zillow.com/homedetails/59-Hammock-Ln-Staten-Island-NY-10312/32361429_zpid/,"$449,900"
40.757947,-73.725986,960,https://www.zillow.com/homedetails/25133-61st-Ave-Little-Neck-NY-11362/2085126879_zpid/,"$390,000"
40.871956,-73.916259,550,https://www.zillow.com/homedetails/100-Park-Ter-W-APT-3G-New-York-NY-10034/2079450234_zpid/,"$274,000"
40.537023,-74.182985,"2,480",https://www.zillow.com/homedetails/224-Albee-Ave-Staten-Island-NY-10312/32365839_zpid/,"$1,800,000"
40.701648,-73.910895,"1,920",https://www.zillow.com/homedetails/1662-Linden-St-Flushing-NY-11385/32008671_zpid/,"Est. $1,134,716"
40.697859,-73.783847,"1,660",https://www.zillow.com/homedetails/10850-171st-Pl-Jamaica-NY-11433/32140853_zpid/,"Est. $633,774"
40.622282,-74.162486,1,https://www.zillow.com/homedetails/400-Lisk-Ave-Staten-Island-NY-10303/32306342_zpid/,"$345,000"
40.623374,-73.909816,"1,650",https://www.zillow.com/homedetails/7204-Avenue-N-Brooklyn-NY-11234/64492723_zpid/,"$949,000"
40.596736,-74.083166,"1,080",https://www.zillow.com/homedetails/7-Mccormick-Pl-Staten-Island-NY-10305/32324707_zpid/,"$499,999"
40.845711,-73.7886,"1,500",https://www.zillow.com/homedetails/48-Hawkins-St-Bronx-NY-10464/29850454_zpid/,"$750,000"
40.698255,-73.848799,705,https://www.zillow.com/homedetails/8410-101st-St-APT-4R-Jamaica-NY-11418/32115503_zpid/,"$355,000"
40.763912,-73.965187,"1,003",https://www.zillow.com/homedetails/166-E-63rd-St-APT-2F-New-York-NY-10065/31534460_zpid/,"$1,195,000"
40.584929,-73.93516,"1,297",https://www.zillow.com/homedetails/2834-Ford-St-APT-2-Brooklyn-NY-11235/82782892_zpid/,"$789,000"
40.587084,-73.967095,"2,680",https://www.zillow.com/homedetails/16-Brighton-Ct-Brooklyn-NY-11223/30740022_zpid/,"$1,250,000"
40.692784,-73.978879,950,https://www.zillow.com/homedetails/115-Ashland-Pl-APT-11A-Brooklyn-NY-11201/244999181_zpid/,"$730,000"
40.585599,-73.814432,"1,550",https://www.zillow.com/homedetails/9114-Holland-Ave-Rockaway-Beach-NY-11693/32225619_zpid/,"$848,000"
40.598315,-73.974531,"1,184",https://www.zillow.com/homedetails/241-Van-Sicklen-St-Brooklyn-NY-11223/30735726_zpid/,"$1,599,999"
